geography code,reception_4yrs_5yrs_old_% obese,reception_4yrs_5yrs_old_Number measured,reception_4yrs_5yrs_old_Number obese,year_6_10yrs_11yrs_old_% obese,year_6_10yrs_11yrs_old_Number measured,year_6_10yrs_11yrs_old_Number obese
E02000244,0.10034602076124567,289,29,0.22727272727272727,220,50
E02000245,0.1345707656612529,431,58,0.23322683706070288,313,73
E02000246,0.13768115942028986,414,57,0.20498614958448755,361,74
E02000247,0.14545454545454545,550,80,0.25252525252525254,396,100
E02000248,0.07960199004975124,201,16,0.22929936305732485,157,36
E02000249,0.11297071129707113,239,27,0.21739130434782608,161,35
E02000250,0.06611570247933884,242,16,0.10909090909090909,165,18
E02000251,0.1624203821656051,314,51,0.256140350877193,285,73
E02000252,0.1465798045602606,307,45,0.23478260869565218,230,54
E02000253,0.12441314553990611,426,53,0.21683673469387754,392,85
E02000254,0.11924119241192412,369,44,0.2323529411764706,340,79
E02000255,0.1235632183908046,348,43,0.17985611510791366,278,50
E02000256,s,146,s,0.16083916083916083,143,23
E02000257,0.06,250,15,0.1590909090909091,132,21
E02000258,0.12,200,24,0.16981132075471697,159,27
E02000259,0.08368200836820083,239,20,0.1791044776119403,201,36
E02000260,0.11420612813370473,359,41,0.21554770318021202,283,61
E02000261,0.08908045977011494,348,31,0.2751677852348993,298,82
E02000262,0.09931506849315068,292,29,0.20535714285714285,224,46
E02000263,0.14766355140186915,535,79,0.23958333333333334,480,115
E02000264,0.12244897959183673,147,18,0.2564102564102564,117,30
E02000265,0.11398963730569948,386,44,0.26804123711340205,291,78
E02000266,0.1443661971830986,568,82,0.23115577889447236,597,138
E02000267,0.08943089430894309,369,33,0.233502538071066,197,46
E02000268,0.09047619047619047,210,19,0.18562874251497005,167,31
E02000269,0.05647840531561462,301,17,0.10734463276836158,177,19
E02000270,0.11924119241192412,369,44,0.27335640138408307,289,79
E02000271,s,115,s,0.13846153846153847,65,9
E02000272,0.0898876404494382,267,24,0.11764705882352941,204,24
E02000274,0.14969135802469136,648,97,0.2438095238095238,525,128
E02000275,0.10661764705882353,272,29,0.228310502283105,219,50
E02000276,0.041237113402061855,291,12,0.16417910447761194,134,22
E02000277,0.17959183673469387,245,44,0.26422764227642276,246,65
E02000278,0.1482758620689655,290,43,0.26334519572953735,281,74
E02000279,0.1494057724957555,589,88,0.2647058823529412,510,135
E02000280,0.09872611464968153,314,31,0.22761194029850745,268,61
E02000281,0.1414141414141414,396,56,0.2491103202846975,281,70
E02000282,0.12871287128712872,404,52,0.28083989501312334,381,107
E02000283,0.1721311475409836,366,63,0.27371273712737126,369,101
E02000284,0.06811145510835913,323,22,0.22072072072072071,222,49
E02000285,0.1477832512315271,203,30,0.20100502512562815,199,40
E02000286,0.08585858585858586,198,17,0.147239263803681,163,24
E02000287,0.08843537414965986,147,13,0.22608695652173913,115,26
E02000288,0.1452991452991453,585,85,0.24153498871331827,443,107
E02000289,0.09230769230769231,195,18,0.20574162679425836,209,43
E02000290,0.14588859416445624,377,55,0.3118279569892473,279,87
E02000291,0.1408839779005525,362,51,0.2554112554112554,231,59
E02000292,0.11805555555555555,288,34,0.23666666666666666,300,71
E02000293,0.04093567251461988,171,7,0.13836477987421383,159,22
E02000294,0.1523545706371191,361,55,0.2519893899204244,377,95
E02000295,0.09785932721712538,327,32,0.18723404255319148,235,44
E02000296,0.10149253731343283,335,34,0.1832797427652733,311,57
E02000297,0.12403100775193798,258,32,0.17410714285714285,224,39
E02000298,0.04291845493562232,233,10,0.14634146341463414,164,24
E02000299,0.12525667351129363,487,61,0.24641148325358853,418,103
E02000300,0.13774104683195593,363,50,0.24752475247524752,303,75
E02000301,0.1306930693069307,505,66,0.27539503386004516,443,122
E02000302,0.10726643598615918,289,31,0.2608695652173913,207,54
E02000303,0.16045845272206305,349,56,0.2845744680851064,376,107
