geography code,avg_num_bedrooms_per_household,pct_no_cars_or_vans,pct_1_cars_or_vans,pct_2_cars_or_vans,pct_3_cars_or_vans,pct_4_or_more_cars_or_vans,pct_no_deprivation_dimensions,pct_1_deprivation_dimensions,pct_2_deprivation_dimensions,pct_3_deprivation_dimensions,pct_4_deprivation_dimensions,employment_pct_part_time,employment_pct_full_time,employment_pct_students,employment_pct_self_employed,education_pct_no_qualification,education_pct_level_1_qualification,education_pct_level_2_qualification,education_pct_level_apprenticeship_qualification,education_pct_level_3_qualification,education_pct_level_4_qualification,employment_hours_worked_less_than_15_hrs,employment_hours_worked_between_16_and_30_hrs,employment_hours_worked_between_31_and_48_hrs,employment_hours_worked_less_than_49_or_more_hrs,population_density_persons_per_hectare,total_number_of_bedrooms,total_number_of_usual_residents,housing_type_pct_houses,housing_type_pct_flats,overcrowding_rate
E02004451,3.0,0.12382845782448168,0.37517750639023006,0.3743254757171258,0.09088327179778471,0.03578528827037773,0.507242260721386,0.30360692984947457,0.1573416642999148,0.027833001988071572,0.003976143141153081,0.18616881409413621,0.5787536155666579,0.02945043386799895,0.2056271364712069,0.22720069154300532,0.14277481630888922,0.19406425587091197,0.04077222302261922,0.12073188301397493,0.23699755078518944,0.11036468330134357,0.19313819577735125,0.5309500959692899,0.16554702495201534,2.8,3521,8664,0.9418732782369146,0.0581267217630854,2.460664583925021
E02004452,3.1,0.10278250993753549,0.36115843270868825,0.39608177172061326,0.09965928449744463,0.04031800113571834,0.4994321408290744,0.32509937535491196,0.1459398069278819,0.02612152186257808,0.0034071550255536627,0.2574416733708769,0.4360418342719228,0.03459372485921158,0.2719227674979887,0.22312184762410406,0.16710910538890364,0.18516060525617203,0.04247411733474914,0.11892752853729759,0.21542341385718078,0.10113285272914521,0.19258496395468588,0.5575695159629248,0.14871266735324407,3.4,3522,9291,0.9230111206159111,0.07698887938408897,2.6379897785349233
E02004453,2.6,0.2798922196025598,0.4193331087908387,0.23408555069046816,0.048837992590097676,0.017851128326035703,0.35331761535870665,0.3243516335466487,0.2515998652745032,0.06736274840013473,0.003368137420006736,0.19402985074626866,0.6681974741676234,0.022043628013777267,0.11572904707233067,0.295767004341534,0.18614327062228653,0.17655571635311143,0.03581765557163531,0.1089001447178003,0.14345151953690305,0.09625996321275292,0.19466584917228694,0.5790925812385039,0.12998160637645617,24.5,2969,7091,0.7833443928334439,0.21665560716655607,2.388346244526777
E02004454,2.4,0.2590661294145532,0.45295093624081534,0.2273050485897132,0.04456032235126807,0.016117563403650153,0.4214268784072055,0.33420241763451053,0.19246266887888125,0.04669352927233942,0.0052145058070632855,0.2897150343924009,0.5283327874222077,0.041925974451359316,0.14002620373403207,0.21285464569046658,0.16391017883555198,0.17964232889606024,0.0372462014253059,0.127336291515396,0.20976200080677693,0.07456230690010299,0.1631307929969104,0.6214212152420185,0.14088568486096809,50.0,4219,8921,0.5955596246280613,0.40444037537193867,2.114482104764162
E02004455,3.3,0.08217753120665743,0.35957004160887657,0.4011789181692094,0.10714285714285714,0.049930651872399444,0.5319001386962552,0.3179611650485437,0.13626907073509015,0.012829403606102635,0.0010402219140083217,0.2252,0.5152,0.0276,0.2320000000000001,0.17659895920765487,0.16971630015108277,0.1891891891891892,0.04213530300486822,0.13261708913882828,0.24760785630350848,0.11306091752318877,0.19879669089997493,0.5417397844071196,0.14640260716971673,6.5,2884,7634,0.9622063329928499,0.03779366700715015,2.647018030513176
E02004456,2.5,0.2100288789708585,0.4549750590706222,0.262011026516146,0.05487004463113678,0.018114990811236544,0.3812024153321082,0.34155946442635865,0.21370438435284853,0.056182725124704645,0.0073510107639800475,0.26551014407527196,0.5069097324316377,0.09085563069685387,0.13672449279623644,0.26265060240963856,0.18795180722891566,0.1793054571226081,0.03501063075832743,0.12530120481927712,0.15350815024805103,0.0876010781671159,0.17632524707996405,0.6004043126684636,0.13566936208445643,41.0,3809,8913,0.8290881304126337,0.1709118695873663,2.339984247834077
E02004457,2.9,0.15317990596387032,0.3949517446176689,0.33382826033160107,0.07943578322197475,0.038604305864884926,0.4484038604305865,0.3283840633506558,0.18089581786686465,0.0400890868596882,0.0022271714922048997,0.24691358024691357,0.4495279593318809,0.05664488017429194,0.24691358024691368,0.23105729621770066,0.1933591311946074,0.1795031831232056,0.04281612782424167,0.12308076394956934,0.18624391461740109,0.0994496855345912,0.1963443396226415,0.5650550314465409,0.1391509433962264,2.9,4041,10331,0.9248906174039864,0.07510938259601362,2.556545409552091
E02004458,3.2,0.07768361581920905,0.3785310734463277,0.4090395480225989,0.10197740112994351,0.0327683615819209,0.5711864406779661,0.3,0.11186440677966102,0.016101694915254237,0.000847457627118644,0.2772626931567329,0.4083885209713024,0.044591611479028695,0.269757174392936,0.15840621963070942,0.16909620991253643,0.20366513952519782,0.03387477439955574,0.13452728029987504,0.2635013188949049,0.10618932038834951,0.19397249190938512,0.5418689320388349,0.15796925566343042,9.7,3540,9519,0.9500416319733556,0.04995836802664446,2.6889830508474577
E02004459,3.0,0.14634708458170084,0.4143811938234616,0.333256510716755,0.07374971191518784,0.03226549896289468,0.5183221940539294,0.3049089651993547,0.1502650380271952,0.02558193132058078,0.0009218713989398478,0.2236253617469087,0.5098658247829518,0.027624309392265192,0.2388845040778742,0.204731027857829,0.13220461095100863,0.16666666666666666,0.037944284341978864,0.12079731027857829,0.30403458213256485,0.11746031746031746,0.173015873015873,0.5380952380952381,0.17142857142857143,2.2,4339,10349,0.8936788027697119,0.10632119723028814,2.3851117769071215
E02004460,2.8,0.1985968699406368,0.4398273070696168,0.27361036157582297,0.06556934700485699,0.02239611440906638,0.4190501888828926,0.3332433890987588,0.19616837560712358,0.04722072315164598,0.004317323259579061,0.24026639344262296,0.4682377049180328,0.02817622950819672,0.2633196721311475,0.26081513423285574,0.1735985533453888,0.17804979830296286,0.04033940742801502,0.11990541104465155,0.18124913061621922,0.10178000912825194,0.17526243724326793,0.5926517571884984,0.13030579643998175,5.5,3706,8855,0.9354155637903653,0.06458443620963472,2.3893685914732865
